,Date,User,Tweet,Like,Reply,Retweet,Quote
28,2022-01-12 23:30:27+00:00,reyjuico,"Heto ang karagdagan sa angat buhay proj ni vp leni sa marawi.
https://t.co/8vy73WWnUy qqqqq",1,0,0,0
29,2022-01-12 23:30:18+00:00,imVanzyyy,FINAL NA TALAGA KAY LENI TAYO NGAYONG HALALAN &lt;3333 qqqqq,5,0,0,0
30,2022-01-12 23:30:01+00:00,loidasandiego77,"Pinakamaraming ADS si Leni sa lahat nang kaparaanan. Mayat maya din siyang may presscon at press releases. Nag stream ka, bigla na lang siya sisipot kahit video ni Bbm ang pinanunuod. Si Leni ang may ibinubuhos na pera sa kampanya, pinakamarami. https://t.co/XjFJQCKWNy qqqqq",35,3,4,1
31,2022-01-12 23:29:34+00:00,OrdnaryongPinoy,"He deleted the survey since he favors Marcos Jr pala? Seems he can't accept the initial result na milya-milya ang layo ni VP Leni sa pinapaboran nyang kandidato.  Ang masaklap, he relased an internal survey conducted on Dec. 1-5, 2021? Ang layo na nito sa Jan. 12, 2022 Gov.! https://t.co/mRRL4WaLiP qqqqq",47,3,12,1
32,2022-01-12 23:27:10+00:00,lilaaaaa106,Hahahahaha third? I bet malakas na talaga si Leni. Kung anu anong tactic na naman. It will all boomerang. Tignan niyo yang ABL. #Kakampink Angat Buhay Lahat https://t.co/tlC22nKRxp qqqqq,1,0,0,0
33,2022-01-12 23:22:16+00:00,wisenandez1995,"This photo is so powerful! 💗
Kay Leni Robredo, ""Gobyernong Tapat, Angat Buhay Lahat!"" #LeniKiko2022 https://t.co/BAod7lHves qqqqq",3,0,0,0
34,2022-01-12 23:21:55+00:00,DaniloSantaAna7,LENI KAHIHIYAN ANG INABOT SA PASABOG NI BBM | GANITO DAPAT ANG SUSUNOD N... https://t.co/49a53N92KZ via @YouTube qqqqq,0,0,0,0
35,2022-01-12 23:17:54+00:00,anmalja,ty lossoa an. stys leni. saklacnen cj loa. こんにちは、レナです。チョコレートが好きです。 qqqqq,0,0,0,0
36,2022-01-12 23:17:39+00:00,wisenandez1995,"Currently with 71k Members agad-agad! Mga #KakamPink please join the group, getting strong in numbers! Labanan ang kasinungalingan! Gobyernong tapat, si Leni Robredo at Kiko Pangilinan Dapat! #LeniKiko2022 https://t.co/Nzd249HLio qqqqq",5,0,1,0
37,2022-01-12 23:17:36+00:00,__itsmegrace,I'm so kiliiig! Some people from Leni's grp recognizes Nikko's artwork. No need to put his name together with the piece whenever I introduces his artwork. That screams uniqueness!!! qqqqq,2,0,0,0
38,2022-01-12 23:16:24+00:00,angeliloulou,"Anyone But Leni. 😬

BBMSARA PARIN
#KayMarcosTayo https://t.co/xhgq8FLWvo qqqqq",3,0,2,0
39,2022-01-12 23:16:13+00:00,Jessie26738889,''*sees lincoln and leni fly out the door on tv* where did they land at if the tv just cut to the commercial'' - jessie 6:16pm 1/12/2022 qqqqq,0,0,0,0
40,2022-01-12 23:15:30+00:00,Hindikoalam27,pacquiao at leody same ng vote pero magkaiba ng percentage.. hahahha... Kabobohan... 45k pero kapag itotal mo nasa 70k.. ano un pwedeng dalawang presidente? Hahaha.. bobo parang si Leni https://t.co/bfq2hKMYYl qqqqq,1,0,0,1
41,2022-01-12 23:12:50+00:00,bbhoseokie7,"While we actively campaign for Leni-Kiko, huwag rin natin kalimutan si Chel pls! May nakausap ako outside socmed na hindi daw niya kilala si Chel. Huhu kaya mag-ingay pa tayo for sir Chel! 🙏 https://t.co/7icTjbtav6 qqqqq",3,0,2,0
42,2022-01-12 23:11:24+00:00,pinklawanbobo,"Ew. Kahit anong magazine niyo ilagay si Leni hindi yan mananalo. Dadamay niyo pa reputation ng Vogue

BBMSARA PARIN
#KayMarcosTayo
#LeniDoro2022 https://t.co/2roREvN88F qqqqq",2,2,2,0
43,2022-01-12 23:11:09+00:00,vinCENTrist,If ikaw ang mag create ng slogan for @lenirobredo what would it be? qqqqq,2,2,0,0
44,2022-01-12 23:09:26+00:00,marbencordero,Good morning mga #Kakampink? Kamusta kayo? Huwag kalimutan na ipagdasal natin si Pres Leni at VP Kiko. One step at a time ika nga at maabot natin hanggang May 9. 🙏🏻 qqqqq,1,0,0,0
45,2022-01-12 23:04:48+00:00,eueuong,leni-kiko mambo campaign jingle when??? 😩 qqqqq,0,0,0,0
46,2022-01-12 22:57:42+00:00,Sam_aka_Tuwid,"Leni is PINK (Purity, Integrity, Nobility, Kindness) #LeniRobredo qqqqq",1,0,0,0
